
50,21,77,0,28,0,27,48,22,2
53,8,77,0,28,0,23,48,24,4
49,0,79,0,46,-5,30,32,2,1
49,0,100,0,50,19,52,51,0,1
37,0,106,0,36,3,68,69,2,1
59,4,84,0,60,24,25,24,0,1
51,1,88,0,52,7,37,37,0,1
37,-1,77,-3,34,-6,40,43,2,1
55,-1,79,-4,20,-12,24,59,34,4
47,2,95,3,46,0,48,49,0,1
42,0,81,-2,42,-4,39,39,0,1
37,0,77,0,2,17,40,74,34,1
37,0,76,-5,28,6,39,47,8,1
50,-4,85,0,50,0,35,36,2,1
56,0,82,1,54,-12,26,28,2,1
45,-1,78,-3,44,-5,33,34,2,1
49,-2,77,3,46,-30,28,30,2,1
37,0,77,0,-6,-19,41,85,44,1
79,2,83,0,-42,-19,4,126,122,5
53,0,79,0,54,14,26,24,0,1
45,-2,83,0,44,-7,37,39,2,1
41,0,81,0,38,-3,41,43,2,1
56,4,98,-4,42,0,42,57,14,4
70,57,82,0,-42,-4,12,126,114,2
59,0,86,0,60,21,28,27,0,1
37,0,79,-1,6,-23,43,74,32,1
37,0,79,0,36,9,42,43,2,1
45,0,93,2,44,0,49,50,0,1
48,0,89,4,46,-7,41,42,2,1
85,0,88,-3,6,0,3,83,80,5
37,-38,106,-104,30,-17,69,75,6,3
46,2,88,0,46,3,42,41,0,1
37,0,78,0,6,-4,41,73,32,1
60,-5,111,0,60,0,50,51,2,1
44,1,88,0,44,4,44,44,0,1
78,-2,82,0,-40,0,4,123,120,5
55,-1,81,-6,54,-8,26,27,0,1
42,-1,78,0,42,0,36,37,2,1
49,-2,83,0,50,0,34,34,0,1
102,0,103,0,72,24,1,31,30,5
37,-3,77,0,38,8,39,38,0,1
45,-4,81,1,44,-21,36,37,2,1
37,0,76,0,30,-23,40,45,6,1
66,0,109,0,68,4,43,42,0,1
45,0,79,0,46,5,34,33,0,1
42,0,80,-7,42,0,38,39,0,1
45,3,79,0,44,-2,34,35,2,1
37,0,79,-5,26,0,43,54,10,1
